snapshot_date,product_id,warehouse,units_on_hand
2024-01-31,63,West,407
2024-01-31,63,East,369
2024-01-31,63,Central,140
2024-01-31,64,West,147
2024-01-31,64,East,62
2024-01-31,64,Central,293
2024-01-31,65,West,346
2024-01-31,65,East,278
2024-01-31,65,Central,194
2024-01-31,66,West,458
2024-01-31,66,East,202
2024-01-31,66,Central,419
2024-01-31,67,West,176
2024-01-31,67,East,488
2024-01-31,67,Central,395
2024-01-31,68,West,411
2024-01-31,68,East,74
2024-01-31,68,Central,148
2024-01-31,69,West,21
2024-01-31,69,East,147
2024-01-31,69,Central,489
2024-01-31,70,West,365
2024-01-31,70,East,40
2024-01-31,70,Central,177
2024-01-31,71,West,473
2024-01-31,71,East,226
2024-01-31,71,Central,335
2024-01-31,72,West,131
2024-01-31,72,East,382
2024-01-31,72,Central,245
2024-01-31,73,West,109
2024-01-31,73,East,103
2024-01-31,73,Central,423
2024-01-31,74,West,275
2024-01-31,74,East,138
2024-01-31,74,Central,477
2024-01-31,75,West,287
2024-01-31,75,East,356
2024-01-31,75,Central,139
2024-01-31,76,West,70
2024-01-31,76,East,55
2024-01-31,76,Central,315
2024-01-31,77,West,379
2024-01-31,77,East,300
2024-01-31,77,Central,122
2024-01-31,78,West,124
2024-01-31,78,East,25
2024-01-31,78,Central,342
2024-01-31,79,West,463
2024-01-31,79,East,271
2024-01-31,79,Central,115
2024-01-31,80,West,326
2024-01-31,80,East,119
2024-01-31,80,Central,26
2024-01-31,81,West,51
2024-01-31,81,East,211
2024-01-31,81,Central,169
2024-01-31,82,West,367
2024-01-31,82,East,241
2024-01-31,82,Central,51
2024-01-31,83,West,348
2024-01-31,83,East,394
2024-01-31,83,Central,70
2024-01-31,84,West,2
2024-01-31,84,East,493
2024-01-31,84,Central,281
2024-01-31,85,West,500
2024-01-31,85,East,475
2024-01-31,85,Central,80
2024-01-31,86,West,208
2024-01-31,86,East,334
2024-01-31,86,Central,478
2024-01-31,87,West,450
2024-01-31,87,East,449
2024-01-31,87,Central,243
2024-01-31,88,West,244
2024-01-31,88,East,333
2024-01-31,88,Central,102
2024-01-31,89,West,387
2024-01-31,89,East,493
2024-01-31,89,Central,147
2024-01-31,90,West,164
2024-01-31,90,East,146
2024-01-31,90,Central,330
2024-03-01,1,West,30
2024-03-01,1,East,464
2024-03-01,1,Central,393
2024-03-01,2,West,45
2024-03-01,2,East,333
2024-03-01,2,Central,293
2024-03-01,3,West,118
2024-03-01,3,East,273
2024-03-01,3,Central,378
2024-03-01,4,West,370
2024-03-01,4,East,435
2024-03-01,4,Central,479
2024-03-01,5,West,19
2024-03-01,5,East,467
2024-03-01,5,Central,471
2024-03-01,6,West,89
2024-03-01,6,East,213
2024-03-01,6,Central,451
2024-03-01,7,West,428
2024-03-01,7,East,90
2024-03-01,7,Central,478
2024-03-01,8,West,470
2024-03-01,8,East,18
2024-03-01,8,Central,428
2024-03-01,9,West,203
2024-03-01,9,East,403
2024-03-01,9,Central,253
2024-03-01,10,West,95
2024-03-01,10,East,479
2024-03-01,10,Central,383
2024-03-01,11,West,492
2024-03-01,11,East,446
2024-03-01,11,Central,474
2024-03-01,12,West,148
2024-03-01,12,East,448
2024-03-01,12,Central,19
2024-03-01,13,West,4
2024-03-01,13,East,152
2024-03-01,13,Central,290
2024-03-01,14,West,308
2024-03-01,14,East,54
2024-03-01,14,Central,475
2024-03-01,15,West,171
2024-03-01,15,East,145
2024-03-01,15,Central,232
2024-03-01,16,West,328
2024-03-01,16,East,278
2024-03-01,16,Central,268
2024-03-01,17,West,252
2024-03-01,17,East,455
2024-03-01,17,Central,480
2024-03-01,18,West,68
2024-03-01,18,East,435
2024-03-01,18,Central,258
2024-03-01,19,West,239
2024-03-01,19,East,139
2024-03-01,19,Central,98
2024-03-01,20,West,414
2024-03-01,20,East,57
2024-03-01,20,Central,169
2024-03-01,21,West,83
2024-03-01,21,East,374
2024-03-01,21,Central,234
2024-03-01,22,West,331
2024-03-01,22,East,131
2024-03-01,22,Central,367
2024-03-01,23,West,95
2024-03-01,23,East,7
2024-03-01,23,Central,377
2024-03-01,24,West,172
2024-03-01,24,East,404
2024-03-01,24,Central,151
2024-03-01,25,West,290
2024-03-01,25,East,345
2024-03-01,25,Central,387
2024-03-01,26,West,98
2024-03-01,26,East,89
2024-03-01,26,Central,312
2024-03-01,27,West,438
2024-03-01,27,East,327
2024-03-01,27,Central,459
2024-03-01,28,West,207
2024-03-01,28,East,423
2024-03-01,28,Central,218
2024-03-01,29,West,263
2024-03-01,29,East,167
2024-03-01,29,Central,44
2024-03-01,30,West,205
2024-03-01,30,East,342
2024-03-01,30,Central,48
2024-03-01,31,West,94
2024-03-01,31,East,71
2024-03-01,31,Central,244
2024-03-01,32,West,165
2024-03-01,32,East,479
2024-03-01,32,Central,127
2024-03-01,33,West,3
2024-03-01,33,East,133
2024-03-01,33,Central,196
2024-03-01,34,West,120
2024-03-01,34,East,228
2024-03-01,34,Central,385
2024-03-01,35,West,136
2024-03-01,35,East,488
2024-03-01,35,Central,168
2024-03-01,36,West,154
2024-03-01,36,East,298
2024-03-01,36,Central,370
2024-03-01,37,West,293
2024-03-01,37,East,5
2024-03-01,37,Central,133
2024-03-01,38,West,334
2024-03-01,38,East,184
2024-03-01,38,Central,354
2024-03-01,39,West,120
2024-03-01,39,East,31
2024-03-01,39,Central,341
2024-03-01,40,West,60
2024-03-01,40,East,238
2024-03-01,40,Central,157
2024-03-01,41,West,81
2024-03-01,41,East,207
2024-03-01,41,Central,351
2024-03-01,42,West,257
2024-03-01,42,East,472
2024-03-01,42,Central,458
2024-03-01,43,West,454
2024-03-01,43,East,360
2024-03-01,43,Central,394
2024-03-01,44,West,159
2024-03-01,44,East,353
2024-03-01,44,Central,60
2024-03-01,45,West,327
2024-03-01,45,East,469
2024-03-01,45,Central,481
2024-03-01,46,West,151
2024-03-01,46,East,188
2024-03-01,46,Central,314
2024-03-01,47,West,113
2024-03-01,47,East,112
2024-03-01,47,Central,490
2024-03-01,48,West,68
2024-03-01,48,East,244
2024-03-01,48,Central,78
2024-03-01,49,West,232
2024-03-01,49,East,382
2024-03-01,49,Central,310
2024-03-01,50,West,191
2024-03-01,50,East,212
2024-03-01,50,Central,359
2024-03-01,51,West,281
2024-03-01,51,East,467
2024-03-01,51,Central,241
2024-03-01,52,West,387
2024-03-01,52,East,275
2024-03-01,52,Central,410
2024-03-01,53,West,340
2024-03-01,53,East,422
2024-03-01,53,Central,111
2024-03-01,54,West,390
2024-03-01,54,East,126
2024-03-01,54,Central,348
2024-03-01,55,West,386
2024-03-01,55,East,305
2024-03-01,55,Central,447
2024-03-01,56,West,403
2024-03-01,56,East,41
2024-03-01,56,Central,269
2024-03-01,57,West,228
2024-03-01,57,East,270
2024-03-01,57,Central,360
2024-03-01,58,West,185
2024-03-01,58,East,39
2024-03-01,58,Central,469
2024-03-01,59,West,288
2024-03-01,59,East,57
2024-03-01,59,Central,31
2024-03-01,60,West,424
2024-03-01,60,East,280
2024-03-01,60,Central,462
2024-03-01,61,West,258
2024-03-01,61,East,103
2024-03-01,61,Central,293
2024-03-01,62,West,274
2024-03-01,62,East,76
2024-03-01,62,Central,84
2024-03-01,63,West,167
2024-03-01,63,East,437
2024-03-01,63,Central,266
2024-03-01,64,West,226
2024-03-01,64,East,59
2024-03-01,64,Central,348
2024-03-01,65,West,105
2024-03-01,65,East,367
2024-03-01,65,Central,298
2024-03-01,66,West,250
2024-03-01,66,East,46
2024-03-01,66,Central,460
2024-03-01,67,West,261
2024-03-01,67,East,228
2024-03-01,67,Central,414
2024-03-01,68,West,28
2024-03-01,68,East,232
2024-03-01,68,Central,67
2024-03-01,69,West,262
2024-03-01,69,East,212
2024-03-01,69,Central,233
2024-03-01,70,West,288
2024-03-01,70,East,29
2024-03-01,70,Central,286
2024-03-01,71,West,236
2024-03-01,71,East,344
2024-03-01,71,Central,413
2024-03-01,72,West,157
2024-03-01,72,East,370
2024-03-01,72,Central,11
2024-03-01,73,West,202
2024-03-01,73,East,130
2024-03-01,73,Central,418
2024-03-01,74,West,1
2024-03-01,74,East,381
2024-03-01,74,Central,111
2024-03-01,75,West,296
2024-03-01,75,East,37
2024-03-01,75,Central,23
2024-03-01,76,West,216
2024-03-01,76,East,176
2024-03-01,76,Central,358
2024-03-01,77,West,32
2024-03-01,77,East,277
2024-03-01,77,Central,30
2024-03-01,78,West,478
2024-03-01,78,East,457
2024-03-01,78,Central,35
2024-03-01,79,West,478
2024-03-01,79,East,241
2024-03-01,79,Central,16
2024-03-01,80,West,146
2024-03-01,80,East,209
2024-03-01,80,Central,92
2024-03-01,81,West,393
2024-03-01,81,East,69
2024-03-01,81,Central,392
2024-03-01,82,West,328
2024-03-01,82,East,500
2024-03-01,82,Central,373
2024-03-01,83,West,330
2024-03-01,83,East,493
2024-03-01,83,Central,215
2024-03-01,84,West,191
2024-03-01,84,East,456
2024-03-01,84,Central,195
2024-03-01,85,West,229
2024-03-01,85,East,445
2024-03-01,85,Central,469
2024-03-01,86,West,464
2024-03-01,86,East,193
2024-03-01,86,Central,192
2024-03-01,87,West,41
2024-03-01,87,East,349
2024-03-01,87,Central,493
2024-03-01,88,West,338
2024-03-01,88,East,447
2024-03-01,88,Central,276
2024-03-01,89,West,68
2024-03-01,89,East,334
2024-03-01,89,Central,440
2024-03-01,90,West,178
2024-03-01,90,East,60
2024-03-01,90,Central,91
2024-03-31,1,West,275
2024-03-31,1,East,201
2024-03-31,1,Central,270
2024-03-31,2,West,65
2024-03-31,2,East,372
2024-03-31,2,Central,114
2024-03-31,3,West,427
2024-03-31,3,East,1
2024-03-31,3,Central,387
2024-03-31,4,West,11
2024-03-31,4,East,500
2024-03-31,4,Central,152
2024-03-31,5,West,237
2024-03-31,5,East,344
2024-03-31,5,Central,368
2024-03-31,6,West,278
2024-03-31,6,East,217
2024-03-31,6,Central,272
2024-03-31,7,West,194
2024-03-31,7,East,421
2024-03-31,7,Central,117
2024-03-31,8,West,126
2024-03-31,8,East,235
2024-03-31,8,Central,177
2024-03-31,9,West,79
2024-03-31,9,East,141
2024-03-31,9,Central,96
2024-03-31,10,West,479
2024-03-31,10,East,448
2024-03-31,10,Central,371
2024-03-31,11,West,391
2024-03-31,11,East,57
2024-03-31,11,Central,16
2024-03-31,12,West,414
2024-03-31,12,East,338
2024-03-31,12,Central,214
2024-03-31,13,West,314
2024-03-31,13,East,392
2024-03-31,13,Central,479
2024-03-31,14,West,452
2024-03-31,14,East,455
2024-03-31,14,Central,8
2024-03-31,15,West,123
2024-03-31,15,East,105
2024-03-31,15,Central,34
2024-03-31,16,West,51
2024-03-31,16,East,304
2024-03-31,16,Central,17
2024-03-31,17,West,228
2024-03-31,17,East,306
2024-03-31,17,Central,344
2024-03-31,18,West,360
2024-03-31,18,East,446
2024-03-31,18,Central,24
2024-03-31,19,West,125
2024-03-31,19,East,379
2024-03-31,19,Central,22
2024-03-31,20,West,205
2024-03-31,20,East,224
2024-03-31,20,Central,119
2024-03-31,21,West,276
2024-03-31,21,East,111
2024-03-31,21,Central,386
2024-03-31,22,West,442
2024-03-31,22,East,397
2024-03-31,22,Central,28
2024-03-31,23,West,71
2024-03-31,23,East,257
2024-03-31,23,Central,148
2024-03-31,24,West,119
2024-03-31,24,East,417
2024-03-31,24,Central,469
2024-03-31,25,West,374
2024-03-31,25,East,294
2024-03-31,25,Central,163
2024-03-31,26,West,295
2024-03-31,26,East,306
2024-03-31,26,Central,395
2024-03-31,27,West,344
2024-03-31,27,East,419
2024-03-31,27,Central,164
2024-03-31,28,West,121
2024-03-31,28,East,154
2024-03-31,28,Central,448
2024-03-31,29,West,73
2024-03-31,29,East,338
2024-03-31,29,Central,266
2024-03-31,30,West,113
2024-03-31,30,East,211
2024-03-31,30,Central,153
2024-03-31,31,West,140
2024-03-31,31,East,31
2024-03-31,31,Central,285
2024-03-31,32,West,485
2024-03-31,32,East,302
2024-03-31,32,Central,450
2024-03-31,33,West,376
2024-03-31,33,East,466
2024-03-31,33,Central,89
2024-03-31,34,West,320
2024-03-31,34,East,347
2024-03-31,34,Central,218
2024-03-31,35,West,284
2024-03-31,35,East,253
2024-03-31,35,Central,24
2024-03-31,36,West,497
2024-03-31,36,East,176
2024-03-31,36,Central,482
2024-03-31,37,West,329
2024-03-31,37,East,343
2024-03-31,37,Central,195
2024-03-31,38,West,402
2024-03-31,38,East,268
2024-03-31,38,Central,163
2024-03-31,39,West,356
2024-03-31,39,East,213
2024-03-31,39,Central,209
2024-03-31,40,West,76
2024-03-31,40,East,153
2024-03-31,40,Central,192
2024-03-31,41,West,94
2024-03-31,41,East,386
2024-03-31,41,Central,275
2024-03-31,42,West,242
2024-03-31,42,East,123
2024-03-31,42,Central,434
2024-03-31,43,West,115
2024-03-31,43,East,153
2024-03-31,43,Central,439
2024-03-31,44,West,362
2024-03-31,44,East,73
2024-03-31,44,Central,412
2024-03-31,45,West,237
2024-03-31,45,East,468
2024-03-31,45,Central,29
2024-03-31,46,West,287
2024-03-31,46,East,211
2024-03-31,46,Central,495
2024-03-31,47,West,213
2024-03-31,47,East,285
2024-03-31,47,Central,271
2024-03-31,48,West,68
2024-03-31,48,East,198
2024-03-31,48,Central,124
2024-03-31,49,West,130
2024-03-31,49,East,104
2024-03-31,49,Central,169
2024-03-31,50,West,331
2024-03-31,50,East,40
2024-03-31,50,Central,472
2024-03-31,51,West,230
2024-03-31,51,East,433
2024-03-31,51,Central,189
2024-03-31,52,West,47
2024-03-31,52,East,274
2024-03-31,52,Central,370
2024-03-31,53,West,424
2024-03-31,53,East,97
2024-03-31,53,Central,26
2024-03-31,54,West,137
2024-03-31,54,East,193
2024-03-31,54,Central,344
2024-03-31,55,West,309
2024-03-31,55,East,308
2024-03-31,55,Central,20
2024-03-31,56,West,447
2024-03-31,56,East,37
2024-03-31,56,Central,96
2024-03-31,57,West,411
2024-03-31,57,East,389
2024-03-31,57,Central,300
2024-03-31,58,West,370
2024-03-31,58,East,343
2024-03-31,58,Central,286
2024-03-31,59,West,111
2024-03-31,59,East,245
2024-03-31,59,Central,106
2024-03-31,60,West,445
2024-03-31,60,East,464
2024-03-31,60,Central,170
2024-03-31,61,West,155
2024-03-31,61,East,489
2024-03-31,61,Central,465
2024-03-31,62,West,7
2024-03-31,62,East,108
2024-03-31,62,Central,479
2024-03-31,63,West,97
2024-03-31,63,East,492
2024-03-31,63,Central,379
2024-03-31,64,West,60
2024-03-31,64,East,382
2024-03-31,64,Central,386
2024-03-31,65,West,245
2024-03-31,65,East,468
2024-03-31,65,Central,124
2024-03-31,66,West,356
2024-03-31,66,East,309
2024-03-31,66,Central,360
2024-03-31,67,West,104
2024-03-31,67,East,203
2024-03-31,67,Central,468
2024-03-31,68,West,122
2024-03-31,68,East,282
2024-03-31,68,Central,164
2024-03-31,69,West,397
2024-03-31,69,East,144
2024-03-31,69,Central,194
2024-03-31,70,West,238
2024-03-31,70,East,273
2024-03-31,70,Central,332
2024-03-31,71,West,183
2024-03-31,71,East,157
2024-03-31,71,Central,133
2024-03-31,72,West,184
2024-03-31,72,East,262
2024-03-31,72,Central,451
2024-03-31,73,West,254
2024-03-31,73,East,238
2024-03-31,73,Central,50
2024-03-31,74,West,411
2024-03-31,74,East,369
2024-03-31,74,Central,240
2024-03-31,75,West,389
2024-03-31,75,East,429
2024-03-31,75,Central,163
2024-03-31,76,West,468
2024-03-31,76,East,104
2024-03-31,76,Central,189
2024-03-31,77,West,160
2024-03-31,77,East,211
2024-03-31,77,Central,23
2024-03-31,78,West,288
2024-03-31,78,East,442
2024-03-31,78,Central,113
2024-03-31,79,West,379
2024-03-31,79,East,74
